Term,Course/Section,Course Offering Id,Days Met,Start Date,End Date,Start Time,End Time,Room,Instructor
202211 (CS Spring)  ,KINE 685/605 INS,23209,,1/18/2022,5/10/2022,,,,Kennedy
202211 (CS Spring)  ,KINE 685/606 INS,40545,,1/18/2022,5/10/2022,,,,Fluckey
202211 (CS Spring)  ,KINE 685/607 INS,23221,,1/18/2022,5/10/2022,,,,Woodman
202211 (CS Spring)  ,KINE 685/608 INS,13862,,1/18/2022,5/10/2022,,,,Martin
202211 (CS Spring)  ,KINE 685/609 INS,14015,,1/18/2022,5/10/2022,,,,Yentes
202211 (CS Spring)  ,KINE 685/610 INS,23222,,1/18/2022,5/10/2022,,,,Xiang
202211 (CS Spring)  ,KINE 685/611 INS,13968,,1/18/2022,5/10/2022,,,,Kreider
202211 (CS Spring)  ,KINE 685/630 INS,15005,,1/18/2022,5/10/2022,,,,Riechman
202211 (CS Spring)  ,KINE 685/641 INS,13864,,1/18/2022,5/10/2022,,,,Lawler
202211 (CS Spring)  ,KINE 685/671 INS,14902,,1/18/2022,5/10/2022,,,,Lightfoot
202211 (CS Spring)  ,KINE 689/600 LEC,41487,W,1/18/2022,5/10/2022,5:20 PM,7:10 PM,GGB  232,Lawler
202211 (CS Spring)  ,KINE 689/601 LEC,42330,W,1/18/2022,5/10/2022,12:40 PM,3:30 PM,GGB  103,Nordin
202211 (CS Spring)  ,KINE 690/600 LEC,11376,W,1/18/2022,5/10/2022,2:15 PM,4:15 PM,HCRB 110,Deutz
202211 (CS Spring)  ,KINE 691/600 RES,14326,,1/18/2022,5/10/2022,,,,Lightfoot
202211 (CS Spring)  ,KINE 691/601 RES,20187,,1/18/2022,5/10/2022,,,,Kreider
202211 (CS Spring)  ,KINE 691/608 RES,14899,,1/18/2022,5/10/2022,,,,Diaz Artiles
202211 (CS Spring)  ,KINE 691/611 RES,13863,,1/18/2022,5/10/2022,,,,Kreider
202211 (CS Spring)  ,KINE 691/614 RES,13861,,1/18/2022,5/10/2022,,,,Nordin
202211 (CS Spring)  ,KINE 691/621 RES,13860,,1/18/2022,5/10/2022,,,,Engelen
202211 (CS Spring)  ,KINE 691/630 RES,13974,,1/18/2022,5/10/2022,,,,Woodman
202211 (CS Spring)  ,KINE 691/652 RES,25906,,1/18/2022,5/10/2022,,,,Fluckey
202211 (CS Spring)  ,KINE 691/666 RES,14003,,1/18/2022,5/10/2022,,,,Wright
202211 (CS Spring)  ,KINE 691/676 RES,14004,,1/18/2022,5/10/2022,,,,Fluckey
202211 (CS Spring)  ,KINE 691/682 RES,16150,,1/18/2022,5/10/2022,,,,Woodman
202211 (CS Spring)  ,KNFB 315/500 LAB,41149,,1/18/2022,5/10/2022,,,,Xiang
202211 (CS Spring)  ,KNFB 315/500 LEC,41149,TR,1/18/2022,5/10/2022,12:45 PM,2:00 PM,AGLS 109,Xiang
202211 (CS Spring)  ,KNFB 324/500 LAB,17096,,1/18/2022,5/10/2022,,,,Liu
202211 (CS Spring)  ,KNFB 324/500 LEC,17096,T,1/18/2022,5/10/2022,8:30 AM,10:20 AM,,Liu
202211 (CS Spring)  ,KNFB 325/900 LAB,31065,,1/18/2022,5/10/2022,,,,Shipley
202211 (CS Spring)  ,KNFB 325/900 LEC,31065,W,1/18/2022,5/10/2022,1:50 PM,3:40 PM,HFSB 101,Shipley
202211 (CS Spring)  ,KNFB 416/901 LAB,12483,F,1/18/2022,5/10/2022,9:10 AM,11:00 AM,,Liu
202211 (CS Spring)  ,KNFB 416/901 LEC,12483,MW,1/18/2022,5/10/2022,11:30 AM,12:45 PM,AGLS 110,Liu
202211 (CS Spring)  ,KNFB 450/504 PRAC,15783,,1/18/2022,5/10/2022,,,,Liu
202211 (CS Spring)  ,KNFB 450/554 PRAC,15784,,1/18/2022,5/10/2022,,,,Liu
202211 (CS Spring)  ,LAND 101/500 LEC,26338,F,1/18/2022,5/10/2022,10:20 AM,11:10 AM,ARCC 207,Rising
